,Service,Rating,Hires,Price,Zip Code,Price Type,Services,Type,Segments,Implied Revenue
2790,Done right Roofing.inc,5.0,,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2791,Empire general Contracting,5.0,,50.0,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2792,GreenLight Construction Group,5.0,12.0,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2793,Weather Guard Building,5.0,,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2794,Do it all construction,5.0,,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2795,Durable Roofing & Coating Systems Corp,5.0,,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2796,NEW KINGDOM CONSTRUCTION,4.5,10.0,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2797,"Pioneer Project Management, PLLC",5.0,,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2798,JCM Gomez Roofing Inc.,5.0,21.0,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2799,Xpert Project Ltd.,5.0,51.0,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2800,Miller's Sealcoating & Flat Roof Specialist,4.0,,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2801,Top A1 Contracting,5.0,4.0,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2802,dardon const. inc.,5.0,,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2803,jates construction,4.0,22.0,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2804,Four Square Construction LLC,5.0,3.0,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2805,Northshore Roofing Repair And Construction,4.5,33.0,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2806,Stergo Roofing Corp,4.5,17.0,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2807,C&H Exterior Restorations,4.5,2.0,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2808,"Innovative Home Concepts, Inc.",5.0,21.0,,60176,,Roof Installation or Replacement,Peripheral,Home Improvement,
2809,Leal Cleaning,5.0,104.0,100.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,10400.0
2810,Forever Maid,4.5,9.0,119.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,1071.0
2811,"Intown PROservices, Inc.",5.0,97.0,100.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,9700.0
2812,Mom & Daughter Cleaning Services,5.0,9.0,,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2813,Roots Cleaning,5.0,2.0,125.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,250.0
2814,N&D House Cleaning Service,4.5,123.0,95.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,11685.0
2815,"GJB Property Enterprises, LLC.",5.0,19.0,75.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,1425.0
2816,T.4.D CLEANING COMPANY,5.0,8.0,110.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,880.0
2817,iiScrub LLC,4.5,63.0,81.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,5103.0
2818,Harris Hustle LLC,4.5,20.0,100.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,2000.0
2819,C360 Cleaning Services,5.0,10.0,180.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,1800.0
2820,Jubilee Maids,4.5,77.0,120.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,9240.0
2821,Atlanta Residential & Commercial Cleaners LLC,4.5,11.0,82.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,902.0
2822,The Clean Dream - Atlanta,3.5,3.0,105.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,315.0
2823,Minute Maids,5.0,,80.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2824,TnT total cleaners,5.0,,,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2825,Bestavellar Services,4.5,26.0,100.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,2600.0
2826,Volare,5.0,,89.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2827,"Joshua's Cleaning Solutions, LLC",4.5,,149.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2828,Mer Sereine Interior Design,5.0,,,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2829,"Professional Cleaning Services of Georgia,Inc",4.5,45.0,165.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,7425.0
2830,Mary House Cleaning,,,,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2831,Nae's Sparkly Cleaning,,,,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2832,Sunshine cleaning service,5.0,,50.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2833,Solange Cleaning 100%,5.0,15.0,83.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,1245.0
2834,Faithful Property Cleaners Inc.,5.0,13.0,110.0,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,1430.0
2835,Gias Restorative Services,,,,30303,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2836,Mechanical Repair Services,5.0,81.0,,97301,,Gutter Repair,Peripheral,Home Improvement,
2837,James Williams,5.0,75.0,50.0,97301,hourly,Gutter Repair,Peripheral,Home Improvement,3750.0
2838,Meyers Diversified Ventures LLC,5.0,22.0,75.0,97301,hourly,Gutter Repair,Peripheral,Home Improvement,1650.0
2839,MOR EPP,5.0,12.0,50.0,97301,hourly,Gutter Repair,Peripheral,Home Improvement,600.0
2840,Interiors By Sonia,5.0,26.0,100.0,48933,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2600.0
2841,JAH-Design Spaces,5.0,,,48933,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2842,"Space, inc",,,,48933,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2843,ALLSTAR HOME SERVICES LLC,4.5,137.0,,55404,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2844,National Dusters Of The Twin Cities,4.5,1427.0,125.0,55404,,Hot Tub and Spa Repair,Peripheral,Home Improvement,178375.0
2845,Ministry Of Clean,5.0,3.0,120.0,55404,,Hot Tub and Spa Repair,Peripheral,Home Improvement,360.0
2846,A family affair cleaning services LLC,4.5,25.0,160.0,55404,,Hot Tub and Spa Repair,Peripheral,Home Improvement,4000.0
2847,Brightview Window Cleaning,4.5,292.0,,55404,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2848,M&J CLEANING COMPANY LLC,,,,55404,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2849,Machado Landscaping & Olga's Janitorial Service,4.5,74.0,,95112,,Gutter Repair,Peripheral,Home Improvement,
2850,AA Ortega Construction,5.0,450.0,120.0,95112,hourly,Gutter Repair,Peripheral,Home Improvement,54000.0
2851,MG Lopez Remodeling and Painting,5.0,56.0,50.0,95112,hourly,Gutter Repair,Peripheral,Home Improvement,2800.0
2852,Cecillio's Plumbing-Unlicensed Contractor,5.0,,,95112,,Gutter Repair,Peripheral,Home Improvement,
2853,Doors by Felipe,5.0,,,95112,,Gutter Repair,Peripheral,Home Improvement,
2854,All Pro Lawn & Snow,5.0,20.0,30.0,68502,,Lawn Mower Repair,Peripheral,Home Improvement,600.0
2855,RR LawnCare,5.0,,20.0,68502,,Lawn Mower Repair,Peripheral,Home Improvement,
2856,"Ground Co., Inc",5.0,4.0,,68502,,Lawn Mower Repair,Peripheral,Home Improvement,
2857,LawnStarter Lawn Care,4.0,362.0,29.0,60176,,Lawn Mower Repair,Peripheral,Home Improvement,10498.0
2858,Lawn Love Lawn Care,3.0,207.0,35.0,60176,,Lawn Mower Repair,Peripheral,Home Improvement,7245.0
2859,Lakewood Paving and Landscaping,5.0,,40.0,60176,,Lawn Mower Repair,Peripheral,Home Improvement,
2860,Vincent Drywall Co.,5.0,,50.0,83702,,General Carpentry,Peripheral,Home Improvement,
2861,Altecca Construction & Remodel,5.0,23.0,,83702,,General Carpentry,Peripheral,Home Improvement,
2862,All Contracting L.L.C,4.5,10.0,,83702,,General Carpentry,Peripheral,Home Improvement,
2863,Terry Melvin Construction,5.0,,,83702,,General Carpentry,Peripheral,Home Improvement,
2864,LawnStarter Lawn Care,4.5,134.0,29.0,72201,,Lawn Mower Repair,Peripheral,Home Improvement,3886.0
2865,Wildcat lawn care and tractor service LLC,5.0,,,72201,,Lawn Mower Repair,Peripheral,Home Improvement,
2866,Broadway LawnCare 2,5.0,2.0,,72201,,Lawn Mower Repair,Peripheral,Home Improvement,
2867,Lawn Love Lawn Care,4.0,106.0,35.0,72201,,Lawn Mower Repair,Peripheral,Home Improvement,3710.0
2868,Pressure Washing Express LLC,5.0,6.0,40.0,72201,,Lawn Mower Repair,Peripheral,Home Improvement,240.0
2869,"Mow-Edge-Blow Lawn Care Service, LLC",5.0,17.0,40.0,72201,,Lawn Mower Repair,Peripheral,Home Improvement,680.0
2870,UltraGreen Lawn Care,5.0,9.0,50.0,72201,,Lawn Mower Repair,Peripheral,Home Improvement,450.0
2871,Bates Interiors,5.0,22.0,85.0,85001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1870.0
2872,Kerry Murphy,5.0,11.0,75.0,85001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,825.0
2873,Het Hout Interiors,5.0,7.0,95.0,85001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,665.0
2874,Holistic Havens,5.0,,125.0,85001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2875,Organize and Design AZ,5.0,9.0,85.0,85001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,765.0
2876,Amanda Thomas Design,5.0,,100.0,85001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2877,Surroundings Interior Design,,,70.0,85001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2878,Distinctive Interior Design and Real Estate,4.5,,125.0,85001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2879,"C&S Professional Home Services, Llc",5.0,2.0,75.0,85001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,150.0
2880,Design to Reflect,4.0,40.0,150.0,85001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,6000.0
2881,Paper Box Concepts,5.0,,,85001,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2882,The Cottage Co,5.0,,,85001,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2883,LUCA CASA Interior Design Phoenix,,,,85001,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2884,Just Like Family Lawn Care,5.0,10.0,25.0,29217,hourly,Gutter Repair,Peripheral,Home Improvement,250.0
2885,Ryan Clancy,5.0,,30.0,29217,hourly,Gutter Repair,Peripheral,Home Improvement,
2886,ADC Enterprise LLC,4.0,25.0,40.0,29217,hourly,Gutter Repair,Peripheral,Home Improvement,1000.0
2887,Handyman,5.0,,38.0,29217,hourly,Gutter Repair,Peripheral,Home Improvement,
2888,"Tiger Plumbing, Heating, Air Conditioning, & El...",5.0,17.0,,62701,,General Carpentry,Peripheral,Home Improvement,
2889,The Other Guys Construction,4.5,37.0,,62701,,General Carpentry,Peripheral,Home Improvement,
2890,Edri Construction,5.0,2.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2891,Gafi Builders. And Design Inc,5.0,,,94108,,General Carpentry,Peripheral,Home Improvement,
2892,Harmony Design & Development,5.0,,,94108,,General Carpentry,Peripheral,Home Improvement,
2893,"Evergreen Builders Group, Inc.",4.5,14.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2894,GBU Construction Development,4.5,8.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2895,Wise Stage of Remodeling,4.5,31.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2896,Green Star Construction,5.0,39.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2897,Vieira Firm Construction,5.0,9.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2898,Building Solutions,4.5,13.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2899,Top Home Builders inc,5.0,2.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2900,Smith and son construction,4.5,26.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2901,Udream builders inc,5.0,,,94108,,General Carpentry,Peripheral,Home Improvement,
2902,Sexton Construction,5.0,3.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2903,ANSTIRMAN CONSTRUCTION,5.0,13.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2904,Sky Home Builders,4.5,16.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2905,Skylight Tools Inc.,5.0,6.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2906,Green Bay Remodeling Inc.,4.0,12.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2907,Boston Bob's,4.5,17.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2908,"Castillo Plumbing, Inc.",4.5,9.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2909,Arthur remodeling,5.0,,,94108,,General Carpentry,Peripheral,Home Improvement,
2910,W&W Builders group inc,4.5,4.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2911,California Custom Painting and Design,5.0,48.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2912,R Medina Construction,4.5,8.0,100.0,94108,,General Carpentry,Peripheral,Home Improvement,800.0
2913,Jericho Construction,5.0,7.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2914,Woodbridge Construction,4.0,6.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2915,Rara Design Studio,4.5,12.0,150.0,94108,,General Carpentry,Peripheral,Home Improvement,1800.0
2916,Lunas handyman.,5.0,5.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2917,GM Construction,3.5,,500.0,94108,,General Carpentry,Peripheral,Home Improvement,
2918,Anlos Remodeling & Painting Services,5.0,,,94108,,General Carpentry,Peripheral,Home Improvement,
2919,terra sol builders,4.5,8.0,,94108,,General Carpentry,Peripheral,Home Improvement,
2920,E-blu Heating and Air / Custom Construction,4.5,2.0,,40601,,General Carpentry,Peripheral,Home Improvement,
2921,Strokes of Perfection,5.0,,,40601,,General Carpentry,Peripheral,Home Improvement,
2922,Trades unlimited,4.5,9.0,,40601,,General Carpentry,Peripheral,Home Improvement,
2923,GSL CONSTRUCTION LLC,5.0,2.0,,40601,,General Carpentry,Peripheral,Home Improvement,
2924,SkyGuard General Contracting,5.0,3.0,,40601,,General Carpentry,Peripheral,Home Improvement,
2925,Graceful Contracting LLC,5.0,,,40601,,General Carpentry,Peripheral,Home Improvement,
2926,Modern Roofing llc,5.0,2.0,,72201,,Roof Installation or Replacement,Peripheral,Home Improvement,
2927,Diamond State Restoration,5.0,2.0,,72201,,Roof Installation or Replacement,Peripheral,Home Improvement,
2928,"The Earth Matters Cleaning, LLC",5.0,8.0,,65101,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2929,Professional Painting Solutions,5.0,6.0,,35210,,Gutter Repair,Peripheral,Home Improvement,
2930,Express Handy Services,5.0,,,35210,,Gutter Repair,Peripheral,Home Improvement,
2931,EMP Electric,4.5,21.0,60.0,35210,hourly,Gutter Repair,Peripheral,Home Improvement,1260.0
2932,C&W Services,5.0,3.0,60.0,35210,hourly,Gutter Repair,Peripheral,Home Improvement,180.0
2933,Paige Holland -Color Consultant,5.0,,100.0,78207,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2934,Red Couch Interiors: Interior Design,5.0,14.0,65.0,78207,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,910.0
2935,Shea Designs,5.0,2.0,85.0,78207,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,170.0
2936,TK Original Design,5.0,,46.0,78207,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2937,Nataliya Borener Interiors,,,150.0,78207,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2938,LUCA CASA Interior Design San Antonio,,,99.0,78207,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2939,"KYARI Group, LLC",4.5,9.0,125.0,78207,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1125.0
2940,Plethora Decor Home Staging & Redesign,5.0,5.0,,78207,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2941,Headed Home Roofing LLC,5.0,4.0,,96813,,Roof Installation or Replacement,Peripheral,Home Improvement,
2942,Hawaii Metal Roofing Supply,,,,96813,,Roof Installation or Replacement,Peripheral,Home Improvement,
2943,EMC,3.0,2.0,,96813,,Roof Installation or Replacement,Peripheral,Home Improvement,
2944,Elohim Construction LLC,5.0,2.0,,21202,,General Carpentry,Peripheral,Home Improvement,
2945,RGGENERAL CONTRACTOR LLC,4.0,2.0,,21202,,General Carpentry,Peripheral,Home Improvement,
2946,BUILDM: Commercial Design/Build,5.0,5.0,,21202,,General Carpentry,Peripheral,Home Improvement,
2947,Maryland Countertop corp,5.0,4.0,,21202,,General Carpentry,Peripheral,Home Improvement,
2948,National Remodelers Specialists,5.0,2.0,,21202,,General Carpentry,Peripheral,Home Improvement,
2949,Closet America,4.5,23.0,,21202,,General Carpentry,Peripheral,Home Improvement,
2950,Capital Remodeling,5.0,,,21202,,General Carpentry,Peripheral,Home Improvement,
2951,"Select Home Cleaners, LLC",5.0,,,82001,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2952,"Pretty Fresh Place, LLC",4.5,63.0,70.0,82001,,Hot Tub and Spa Repair,Peripheral,Home Improvement,4410.0
2953,Little Joe Company,5.0,22.0,120.0,82001,,Hot Tub and Spa Repair,Peripheral,Home Improvement,2640.0
2954,Dave’s Roofing,5.0,13.0,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2955,H. Forrest contracting,4.5,55.0,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2956,"Iconic Roofing and Exteriors, Inc.",5.0,14.0,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2957,J. Miller contracting,5.0,36.0,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2958,"National Exteriors, LLC.",5.0,,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2959,Hart Home Improvements,5.0,37.0,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2960,J. Smucker Contracting,4.5,,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2961,Top Ridge Roofers,5.0,,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2962,"Dynamic Remodel and Repair, LLC",5.0,3.0,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2963,Tycos Roofing and Siding,4.0,13.0,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2964,MW Roofing LLC,4.5,2.0,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2965,DMD Commercial Roofing,4.5,6.0,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2966,Budco Renovations &Remodels,,,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2967,Orbit Energy,5.0,4.0,,19850,,Roof Installation or Replacement,Peripheral,Home Improvement,
2968,Triad Inc,5.0,33.0,,64105,,Roof Installation or Replacement,Peripheral,Home Improvement,
2969,Roofing Force,5.0,13.0,,64105,,Roof Installation or Replacement,Peripheral,Home Improvement,
2970,Top Peaks Roofing and Construction,5.0,21.0,,64105,,Roof Installation or Replacement,Peripheral,Home Improvement,
2971,Collins Roofing,4.5,2.0,,64105,,Roof Installation or Replacement,Peripheral,Home Improvement,
2972,"D&K Roofing and Siding, LLC",4.5,74.0,,64105,,Roof Installation or Replacement,Peripheral,Home Improvement,
2973,MdM Roofing LLC,5.0,,,64105,,Roof Installation or Replacement,Peripheral,Home Improvement,
2974,Construction Pros and Roofing LLC,5.0,,,64105,,Roof Installation or Replacement,Peripheral,Home Improvement,
2975,Geometric Roofing & Construction LLC,5.0,,25.0,64105,,Roof Installation or Replacement,Peripheral,Home Improvement,
2976,Kelvin construction,5.0,,,64105,,Roof Installation or Replacement,Peripheral,Home Improvement,
2977,Good Faith Contracting,4.5,8.0,,64105,,Roof Installation or Replacement,Peripheral,Home Improvement,
2978,Modernize KC LLC,4.0,2.0,,64105,,Roof Installation or Replacement,Peripheral,Home Improvement,
2979,Reliance Roofing,,,,64105,,Roof Installation or Replacement,Peripheral,Home Improvement,
2980,Loving Quarters,5.0,5.0,100.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,500.0
2981,Black Spider,5.0,2.0,100.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,200.0
2982,Jessica Reynaud Design,5.0,5.0,120.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,600.0
2983,Savana Studio,5.0,15.0,75.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1125.0
2984,Jewel Tone Interiors,5.0,10.0,70.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,700.0
2985,River & Rose Design,5.0,,100.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2986,Interiors by Blackwood LLC,5.0,4.0,125.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,500.0
2987,bluevine studio llc,5.0,7.0,120.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,840.0
2988,Laura Michelle Interiors,5.0,,,97201,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2989,Espiro,5.0,2.0,35.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,70.0
2990,AriaTouch,5.0,,225.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2991,Summit Design Interiors,5.0,,165.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2992,Claire Hickox Design,5.0,,80.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2993,Christina Williams Design,5.0,2.0,125.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,250.0
2994,Cultivated Space,,,55.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2995,Tailored by KD,,,125.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2996,Hendricks Realty Co. |,5.0,,225.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2997,LUCA CASA Interior Design Portland,,,,97201,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2998,onthemarcdesign,,,100.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2999,"Miller Interior Design, LLC",5.0,,250.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
3000,Rebloom Company,4.5,10.0,100.0,97201,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1000.0
3001,Impressive Cleaning Services,5.0,263.0,120.0,10007,,Hot Tub and Spa Repair,Peripheral,Home Improvement,31560.0
3002,QLEAN NY INC,5.0,207.0,120.0,10007,,Hot Tub and Spa Repair,Peripheral,Home Improvement,24840.0
3003,FS Cleaning NYC,5.0,,,10007,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
3004,Kpg property cleaning services,3.5,,,10007,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
3005,Angely Company,,,,10007,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
3006,White Glove Rental Management,5.0,,,10007,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
3007,Two and One Cleaners LLC,4.5,31.0,,10007,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
3008,ANGELICA FLORES,,,,10007,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
3009,Tony&Maria Martins Cleanning,,2.0,110.0,10007,,Hot Tub and Spa Repair,Peripheral,Home Improvement,220.0
3010,LawnStarter Lawn Care,4.0,522.0,29.0,19850,,Lawn Mower Repair,Peripheral,Home Improvement,15138.0
3011,Gallardo Landscaping llc.,5.0,28.0,,19850,,Lawn Mower Repair,Peripheral,Home Improvement,
3012,White Clay Lawn Care,5.0,9.0,30.0,19850,,Lawn Mower Repair,Peripheral,Home Improvement,270.0
3013,Mow -N- Go Landscaping,5.0,7.0,30.0,19850,,Lawn Mower Repair,Peripheral,Home Improvement,210.0
3014,Goodfellas Landscaping LLC,5.0,3.0,45.0,19850,,Lawn Mower Repair,Peripheral,Home Improvement,135.0
3015,Rios Landscaping,5.0,41.0,34.0,19850,,Lawn Mower Repair,Peripheral,Home Improvement,1394.0
3016,A&O Landscaping,5.0,2.0,,19850,,Lawn Mower Repair,Peripheral,Home Improvement,
3017,"Strong As Nails Construction, LLC",4.0,4.0,25.0,19850,,Lawn Mower Repair,Peripheral,Home Improvement,100.0
3018,Above it all concrete and construction,5.0,,,19850,,Lawn Mower Repair,Peripheral,Home Improvement,
3019,NaturaLawn of America,4.5,4.0,50.0,19850,,Lawn Mower Repair,Peripheral,Home Improvement,200.0
3020,Vicente Gonzalez Handyman,5.0,168.0,75.0,99501,hourly,Gutter Repair,Peripheral,Home Improvement,12600.0
3021,Sprout,5.0,,35.0,99501,hourly,Gutter Repair,Peripheral,Home Improvement,
3022,Happy Cleaning,5.0,36.0,,99501,,Gutter Repair,Peripheral,Home Improvement,
3023,Eagle River Property Services LLC,5.0,,65.0,99501,hourly,Gutter Repair,Peripheral,Home Improvement,
3024,FitByCyrus,5.0,4.0,100.0,99501,hourly,Gutter Repair,Peripheral,Home Improvement,400.0
3025,Fred's Handyman Services,5.0,50.0,50.0,99501,hourly,Gutter Repair,Peripheral,Home Improvement,2500.0
3026,Animal House Janitorial and Maintenance,4.5,89.0,50.0,99501,hourly,Gutter Repair,Peripheral,Home Improvement,4450.0
3027,LawnStarter Lawn Care,4.0,78.0,29.0,64105,,Lawn Mower Repair,Peripheral,Home Improvement,2262.0
3028,Lawn Love Lawn Care,4.5,41.0,,64105,,Lawn Mower Repair,Peripheral,Home Improvement,
3029,Quality Lawn Care LLC,5.0,13.0,30.0,64105,,Lawn Mower Repair,Peripheral,Home Improvement,390.0
3030,Cut Trim Blow&Go...LLC,4.5,40.0,30.0,64105,,Lawn Mower Repair,Peripheral,Home Improvement,1200.0
3031,EcoPest Services,5.0,3.0,,64105,,Lawn Mower Repair,Peripheral,Home Improvement,
3032,Maria Kokkinos Decor,4.5,16.0,85.0,33602,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1360.0
3033,Interiors by Mia,5.0,6.0,125.0,33602,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,750.0
3034,Sally Fretwell's Coastal Design,5.0,46.0,125.0,33602,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,5750.0
3035,Melissa Labelle Designs,5.0,,,33602,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
3036,Kate Sparks Interiors,4.5,7.0,90.0,33602,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,630.0
3037,AD | Atelier + Design,5.0,3.0,100.0,33602,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,300.0
3038,Cardinal Designs,5.0,,100.0,33602,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
3039,Interiors by Cassandra,5.0,16.0,70.0,33602,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1120.0
3040,Edwin Ambert Interiors - St. Petersburg,5.0,3.0,175.0,33602,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,525.0
3041,Style Me Living,5.0,,,33602,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
