,Service,Rating,Hires,Price,Zip Code,Price Type,Services,Type,Segments,Implied Revenue
137,A1 Roofoing Indiana,,,,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,
138,"WeatherTight Exteriors, LLC",4.0,8.0,,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,
139,Watergate Roofing,,,,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,
140,Crickets Crush Home Decorating,5.0,14.0,150.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2100.0
141,Dana Liv Interiors,5.0,19.0,125.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2375.0
142,Lynn Cesaria STYLE,5.0,3.0,120.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,360.0
143,Soudi Amini Design,5.0,12.0,125.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1500.0
144,Beyond modern interiors,5.0,6.0,110.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,660.0
145,BCD (Blane Charles Design),5.0,27.0,101.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2727.0
146,KBR Design and Build,4.5,,1.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
147,Hauzienda Studio LLC,5.0,,85.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
148,Home Devine Interiors,4.5,9.0,90.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,810.0
149,Savvy Spaces by Arti LLC,5.0,5.0,60.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,300.0
150,Paula McCoy Studios,5.0,5.0,175.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,875.0
151,Angelika Design Studio,5.0,22.0,150.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,3300.0
152,Rddhima and Sanjana Designs,5.0,2.0,75.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,150.0
153,Urban Office Architecture PLLC,5.0,19.0,300.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,5700.0
154,Mackenzie Reid Design,5.0,,100.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
155,Interior Couture NYC LLC,5.0,,150.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
156,Prutha Raithatha Design LLC,5.0,,150.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
157,Ellyn Murphy Design,5.0,2.0,150.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,300.0
158,Jane Studios,5.0,25.0,150.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,3750.0
159,Lena Lalvani,5.0,,130.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
160,JLK Interiors,5.0,7.0,,10007,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
161,Paula Fox Interiors,5.0,6.0,150.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,900.0
162,ALD,5.0,14.0,175.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2450.0
163,Interiors DBK,5.0,8.0,85.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,680.0
164,Lesley Love Home,5.0,,85.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
165,Olive Bauers Interior,5.0,,125.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
166,CIRCA 22 Design Studio,5.0,,85.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
167,Neelia Designs,5.0,,100.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
168,NeatNYC,3.5,6.0,,10007,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
169,"Bold Interior Designs, LLC",5.0,,200.0,10007,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
170,LawnStarter Lawn Care,4.0,939.0,29.0,73102,,Lawn Mower Repair,Peripheral,Home Improvement,27231.0
171,Top Shelf Lawn Care and More LLC,5.0,27.0,,73102,,Lawn Mower Repair,Peripheral,Home Improvement,
172,Lawn Love Lawn Care,3.5,241.0,35.0,73102,,Lawn Mower Repair,Peripheral,Home Improvement,8435.0
173,Bermuda blooms,5.0,93.0,40.0,73102,,Lawn Mower Repair,Peripheral,Home Improvement,3720.0
174,PATRIOT OUTDOORS,5.0,12.0,42.0,73102,,Lawn Mower Repair,Peripheral,Home Improvement,504.0
175,Antonio’s Landscaping & tree services LLC,5.0,234.0,40.0,73102,,Lawn Mower Repair,Peripheral,Home Improvement,9360.0
176,ASAP Tree trimming & Window Cleaning Com.,5.0,,34.0,73102,,Lawn Mower Repair,Peripheral,Home Improvement,
177,K Bar W Company,5.0,8.0,50.0,73102,,Lawn Mower Repair,Peripheral,Home Improvement,400.0
178,GreenworX,,,,73102,,Lawn Mower Repair,Peripheral,Home Improvement,
179,E-E-E Construction,5.0,2.0,,57103,,Roof Installation or Replacement,Peripheral,Home Improvement,
180,Paragon Roofing,5.0,,,57103,,Roof Installation or Replacement,Peripheral,Home Improvement,
181,Will B Contructed,5.0,,,57103,,Roof Installation or Replacement,Peripheral,Home Improvement,
182,LoveOurRoof,4.0,3.0,,57103,,Roof Installation or Replacement,Peripheral,Home Improvement,
183,Yoly's Cleaning Services,5.0,54.0,100.0,97201,,Hot Tub and Spa Repair,Peripheral,Home Improvement,5400.0
184,Lily s house cleaning service,5.0,97.0,,97201,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
185,At your convenience cleaning service,5.0,,,97201,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
186,Navy cleaning Llc,3.5,46.0,,97201,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
187,J&E shine,4.5,279.0,85.0,97201,,Hot Tub and Spa Repair,Peripheral,Home Improvement,23715.0
188,Beaverton House Cleaning,4.5,234.0,120.0,97201,,Hot Tub and Spa Repair,Peripheral,Home Improvement,28080.0
189,Peacock Contractors,5.0,,,97201,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
190,Barajas Housekeeping,,,100.0,97201,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
191,Busy Bee Cleaning Services,5.0,,,97201,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
192,"Colombia Cleaning Services, L.L.C.",4.5,198.0,,97201,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
193,Schwalb builders,4.5,2.0,,80202,,General Carpentry,Peripheral,Home Improvement,
194,Scott Smith Design Build,5.0,,,80202,,General Carpentry,Peripheral,Home Improvement,
195,Blue Horse Construction,5.0,,,80202,,General Carpentry,Peripheral,Home Improvement,
196,BathPerfect by Accessible Systems,5.0,22.0,,80202,,General Carpentry,Peripheral,Home Improvement,
197,Perfect Home Enhancements LLC,5.0,,,80202,,General Carpentry,Peripheral,Home Improvement,
198,Luis Vergara Construction,5.0,,,80202,,General Carpentry,Peripheral,Home Improvement,
199,DreamWorx Home Improvement,5.0,5.0,,80202,,General Carpentry,Peripheral,Home Improvement,
200,8A Colorado Stone,5.0,5.0,,80202,,General Carpentry,Peripheral,Home Improvement,
201,KZ Renovations,5.0,35.0,,80202,,General Carpentry,Peripheral,Home Improvement,
202,Compass Construction LLC,5.0,,150.0,80202,,General Carpentry,Peripheral,Home Improvement,
203,A’s construction,3.5,4.0,,80202,,General Carpentry,Peripheral,Home Improvement,
204,KC Trades,4.5,28.0,,80202,,General Carpentry,Peripheral,Home Improvement,
205,Ds construction.llc,4.5,103.0,,80202,,General Carpentry,Peripheral,Home Improvement,
206,"Adept Contracting, LLC",5.0,,,80202,,General Carpentry,Peripheral,Home Improvement,
207,Kitchen & Floor Concepts,4.0,3.0,,80202,,General Carpentry,Peripheral,Home Improvement,
208,Team Construction and remodel,,,,80202,,General Carpentry,Peripheral,Home Improvement,
209,Brandon voth,,,,80202,,General Carpentry,Peripheral,Home Improvement,
210,"RamiGuz Remodeling, LLC",,,,80202,,General Carpentry,Peripheral,Home Improvement,
211,Harvest Design Inc.,5.0,27.0,,80202,,General Carpentry,Peripheral,Home Improvement,
212,Famous Flooring & Stone L.L.C.,4.0,,,80202,,General Carpentry,Peripheral,Home Improvement,
213,JB's Handyman Services,,,,80202,,General Carpentry,Peripheral,Home Improvement,
214,WalterMade Studio LLC,5.0,10.0,,32301,,General Carpentry,Peripheral,Home Improvement,
215,Harrison's Development & Remodeling Inc,,,,32301,,General Carpentry,Peripheral,Home Improvement,
216,LawnStarter Lawn Care,4.0,362.0,29.0,53205,,Lawn Mower Repair,Peripheral,Home Improvement,10498.0
217,Lawn Love Lawn Care,3.0,207.0,35.0,53205,,Lawn Mower Repair,Peripheral,Home Improvement,7245.0
218,Uptown Landscaping and Home Repairs,5.0,7.0,,53205,,Lawn Mower Repair,Peripheral,Home Improvement,
219,The garden starters,5.0,,,53205,,Lawn Mower Repair,Peripheral,Home Improvement,
220,Dinero lawn & Snow removal,5.0,,,53205,,Lawn Mower Repair,Peripheral,Home Improvement,
221,Colony Construction,4.5,27.0,,95814,,General Carpentry,Peripheral,Home Improvement,
222,WDS Remodeling & Renovation,5.0,18.0,,95814,,General Carpentry,Peripheral,Home Improvement,
223,Rose Remodeling,5.0,,,95814,,General Carpentry,Peripheral,Home Improvement,
224,Lunas handyman.,5.0,5.0,,95814,,General Carpentry,Peripheral,Home Improvement,
225,CDL Construction,5.0,3.0,,95814,,General Carpentry,Peripheral,Home Improvement,
226,R&R General Contracting,5.0,2.0,,95814,,General Carpentry,Peripheral,Home Improvement,
227,The Bath Biz,5.0,,,95814,,General Carpentry,Peripheral,Home Improvement,
228,Anlos Remodeling & Painting Services,5.0,,,95814,,General Carpentry,Peripheral,Home Improvement,
229,Amador Construction,5.0,,,95814,,General Carpentry,Peripheral,Home Improvement,
230,"Spectrum One, Inc.",4.0,30.0,,95814,,General Carpentry,Peripheral,Home Improvement,
231,Business Design Services,5.0,2.0,,95814,,General Carpentry,Peripheral,Home Improvement,
232,Concept Interior Design Studio,5.0,2.0,,95814,,General Carpentry,Peripheral,Home Improvement,
233,Precision Home Services,,,,95814,,General Carpentry,Peripheral,Home Improvement,
234,denim & duke,5.0,33.0,95.0,82001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,3135.0
235,Feels Like Home CO,5.0,4.0,75.0,82001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,300.0
236,D2D Studio,4.5,52.0,155.0,82001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,8060.0
237,LawnStarter Lawn Care,4.0,161.0,29.0,92101,,Lawn Mower Repair,Peripheral,Home Improvement,4669.0
238,JF Landscaping,4.5,65.0,35.0,92101,,Lawn Mower Repair,Peripheral,Home Improvement,2275.0
239,CJ’s landscaping,5.0,82.0,,92101,,Lawn Mower Repair,Peripheral,Home Improvement,
240,Fuentes Services,5.0,48.0,45.0,92101,,Lawn Mower Repair,Peripheral,Home Improvement,2160.0
241,MP Construction,5.0,92.0,,92101,,Lawn Mower Repair,Peripheral,Home Improvement,
242,Pacific Green Solutions Landscaping,4.0,6.0,45.0,92101,,Lawn Mower Repair,Peripheral,Home Improvement,270.0
243,San Diego Landscapers,4.0,,,92101,,Lawn Mower Repair,Peripheral,Home Improvement,
